title,price,rating,reviews,availability,colore,Dimensione prodotto,peso_articolo,link
"Interchem ARSG0.75X6 Argonit Sgrassatore Sgrassatore con Igienizzante, 6 Flaconi Spray da 750 ml","27,40€",4.7,2.0,Disponibilità: solo 2,[],187 x 198 x 293 cm,,https://www.amazon.it/Interchem-ARSG0-75X6-Argonit-Sgrassatore-Igienizzante/dp/B07J1NZPVM/ref=sr_1_170?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-170
Ecover ECV prodotto per la pulizia Spray 500 ml,"6,68€",4.6,41.0,Disponibilità immediata,[],"‎9,3 x 4,5 x 26,2 cm; 550 grammi",,https://www.amazon.it/Ecover-ECV-prodotto-pulizia-Spray/dp/B098TSYHK7/ref=sr_1_171?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-171
"Napisan Spray Igienizzante Superfici, Classico, 750 ml",,4.7,1080.0,Not Available,['rosa'],"‎5,6 x 11,2 x 28,4 cm; 750 grammi",,https://www.amazon.it/Napisan-Spray-Igienizzante-Superfici-Classico/dp/B00XI7MOD8/ref=sr_1_172?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-172
"The Pink Stuff The Miracle, detergente spray multiuso per superfici dure, 750 ml","9,99€",4.4,22451.0,Disponibilità immediata,['rosa'],"‎6,78 x 9,5 x 29,49 cm; 300,5 grammi",300.0,https://www.amazon.it/Pink-Stuff-miracoloso-detergente-multiuso/dp/B07T9C5CQR/ref=sr_1_173?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-173
"SONAX 03552410 Spray antiappannamento, protezione antiappannamento per tutti i vetri in plastica per una visione completa, 500 ml","20,89€",3.8,2376.0,Disponibilità immediata,['verde'],"‎9,7 x 5,7 x 23,7 cm; 570 grammi",570.0,https://www.amazon.it/SONAX-03552410-Spray-Anti-Appannamento-500/dp/B07M5KP576/ref=sr_1_174?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-174
"WD-40 Bike Detergente Bici Spray ad Azione Rapida, 500 ml","11,90€",4.5,1418.0,Disponibilità immediata,['blu'],30 x 30 x 30 cm,,https://www.amazon.it/WD-40-BIKE-Detergente-Azione-Rapida/dp/B072KRTSFY/ref=sr_1_175?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-175
"Wc Net - Bagno e Wc con Candeggina, Detergente Spray per Sanitari e Superfici, Azione Igienizzante e Sbiancante, 600 ml","2,68€",4.4,76.0,Disponibilità immediata,"['rosso', 'blu']",‎1 x 1 x 1 cm; 10 grammi,,https://www.amazon.it/Wc-Net-Trigger-Mousse-Candeggina/dp/B014UVD6BO/ref=sr_1_176?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&rdc=1&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-176
"Chanteclair - Multiuso Igienizzante - Zero Aloni e Residui, Spray Ideale per Piccole Superfici anche a Contatto con Alimenti, Forza&Igiene - 12 Flaconi da 625 ml","27,11€",4.9,40.0,Disponibilità immediata,"['bianco', 'blu']",,,https://www.amazon.it/CHANTECLAIR-Multiuso-Igienizzante-Spray-Confezione/dp/B09S6KH1JT/ref=sr_1_177_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-177-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Fulcron Super Concentrato Sgrassatore Spray, 500 ml","9,90€",4.5,2207.0,Disponibilità immediata,['bianco'],‎4 x 8 x 24 cm; 580 grammi,580.0,https://www.amazon.it/Fulcron-Super-Concentrato-Sgrassatore-500/dp/B007IIIQVC/ref=sr_1_178_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-178-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
WEICON Detergente agli Agrumi Spray 400 ml/Detergente universale/Pulizia e disinfezione di supporto delle superfici,"13,59€",5.0,3.0,Disponibilità immediata,[],,,https://www.amazon.it/WEICON-Detergente-universale-disinfezione-superfici/dp/B087C9VKGX/ref=sr_1_179_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-179-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
Fabuloso Spray Profumatore per Tessuti Fresco Mattino 2x250ml | Spruzzo Sottile e Uniforme | Utilizzabile su Capi e Tessuti Bagnati,"9,99€",3.9,43.0,Disponibilità immediata,[],"‎8,8 x 15 x 19,4 cm; 600 grammi",,https://www.amazon.it/Fabuloso-Profumatore-Tessuti-Uniforme-Utilizzabile/dp/B0CHN1J89S/ref=sr_1_180_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-180-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
